,Area,Item,Year,Value
79594,Japan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,5.7
80501,Jordan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
80508,Jordan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
80515,Jordan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
81455,Kazakhstan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,2.4
81462,Kazakhstan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,1.6
81469,Kazakhstan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,3.2
82367,Kenya,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,72.3
82374,Kenya,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,70.7
82381,Kenya,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,73.8
83264,Kiribati,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,41
83271,Kiribati,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,36.8
83278,Kiribati,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,45.2
84148,Kuwait,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,10.9
84155,Kuwait,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,9
84162,Kuwait,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,12.8
85129,Kyrgyzstan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,6.9
85136,Kyrgyzstan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,6.8
85143,Kyrgyzstan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,6.9
86063,Lao People's Democratic Republic,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,34.1
86070,Lao People's Democratic Republic,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,31
86077,Lao People's Democratic Republic,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,37.1
87018,Latvia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,9.4
87025,Latvia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.1
87032,Latvia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,11.6
87940,Lebanon,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,36.5
87947,Lebanon,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,34.1
87954,Lebanon,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,39
88864,Lesotho,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,56.7
88871,Lesotho,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,54.7
88878,Lesotho,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,58.7
89797,Liberia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,81.2
89804,Liberia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,78.2
89811,Liberia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,84.3
90665,Libya,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,39.8
90672,Libya,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,36.6
90679,Libya,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,43.1
91521,Lithuania,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,8.5
91528,Lithuania,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,6.7
91535,Lithuania,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,10.3
92464,Luxembourg,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,2.7
92471,Luxembourg,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,1.8
92478,Luxembourg,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,3.6
93276,Madagascar,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,64.9
93283,Madagascar,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,62.4
93290,Madagascar,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,67.3
94210,Malawi,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,82.4
94217,Malawi,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,81
94224,Malawi,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,83.8
95158,Malaysia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,16
95165,Malaysia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,13.6
95172,Malaysia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,18.3
96062,Maldives,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,13.4
96069,Maldives,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,10.8
96076,Maldives,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,15.9
96903,Mali,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
96910,Mali,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
96917,Mali,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
97794,Malta,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.2
97801,Malta,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,5.8
97808,Malta,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,8.6
98543,Marshall Islands,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
98550,Marshall Islands,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
98557,Marshall Islands,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
99220,Mauritania,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,53.7
99227,Mauritania,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,51.8
99234,Mauritania,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,55.6
100080,Mauritius,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,32
100087,Mauritius,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,28.8
100094,Mauritius,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,35.1
100954,Mexico,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,27.6
100961,Mexico,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,26.7
100968,Mexico,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,28.5
101820,Micronesia (Federated States of),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
101827,Micronesia (Federated States of),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
101834,Micronesia (Federated States of),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
102480,Mongolia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,5.7
102487,Mongolia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,4.9
102494,Mongolia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,6.5
103425,Montenegro,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,12.9
103432,Montenegro,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,10.3
103439,Montenegro,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,15.4
104311,Morocco,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
104318,Morocco,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
104325,Morocco,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
105253,Mozambique,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,75.4
105260,Mozambique,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,71.6
105267,Mozambique,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,79.2
106147,Myanmar,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,29.3
106154,Myanmar,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,25.8
106161,Myanmar,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,32.8
107080,Namibia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,57.7
107087,Namibia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,55.3
107094,Namibia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,60.1
107888,Nauru,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
107895,Nauru,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
107902,Nauru,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
108572,Nepal,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,37.4
108579,Nepal,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,34.3
108586,Nepal,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,40.5
109525,Netherlands (Kingdom of the),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,4.5
109532,Netherlands (Kingdom of the),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,3
109539,Netherlands (Kingdom of the),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,6
110424,New Caledonia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
110431,New Caledonia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
110438,New Caledonia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
111093,New Zealand,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,15.1
111100,New Zealand,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,13.1
111107,New Zealand,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,17.1
111920,Nicaragua,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
111927,Nicaragua,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
111934,Nicaragua,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
112829,Niger,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,71.4
112836,Niger,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,67.2
112843,Niger,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,75.6
113745,Nigeria,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,69.7
113752,Nigeria,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,67.3
113759,Nigeria,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,72
114544,Niue,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
114551,Niue,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
114558,Niue,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
115138,North Macedonia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,24
115145,North Macedonia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,21.9
115152,North Macedonia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,26.2
116083,Norway,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,5.2
116090,Norway,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,3.6
116097,Norway,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,6.8
116910,Oman,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
116917,Oman,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
116924,Oman,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
117837,Pakistan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,42.3
117844,Pakistan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,40.7
117851,Pakistan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,43.9
118627,Palau,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
118634,Palau,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
118641,Palau,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
119164,Palestine,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,28.1
119171,Palestine,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,24.9
119178,Palestine,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,31.3
119985,Panama,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
119992,Panama,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
119999,Panama,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
120844,Papua New Guinea,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
120851,Papua New Guinea,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
120858,Papua New Guinea,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
121682,Paraguay,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,25.9
121689,Paraguay,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,22.7
121696,Paraguay,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,29.1
122611,Peru,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
122618,Peru,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
122625,Peru,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
123582,Philippines,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,44.7
123589,Philippines,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,43.2
123596,Philippines,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,46.1
124535,Poland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.5
124542,Poland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,6
124549,Poland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,9.1
125427,Portugal,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,12.4
125434,Portugal,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,9.9
125441,Portugal,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,15
126271,Puerto Rico,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
126278,Puerto Rico,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
126285,Puerto Rico,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
126868,Qatar,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
126875,Qatar,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
126882,Qatar,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
127749,Republic of Korea,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,5.6
127756,Republic of Korea,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,4.2
127763,Republic of Korea,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,6.9
128698,Republic of Moldova,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,23.5
128705,Republic of Moldova,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,21.2
128712,Republic of Moldova,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,25.9
129623,Romania,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,16.3
129630,Romania,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,13.9
129637,Romania,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,18.6
130568,Russian Federation,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,5
130575,Russian Federation,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,4.2
130582,Russian Federation,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,5.8
131453,Rwanda,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
131460,Rwanda,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
131467,Rwanda,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
132353,Saint Kitts and Nevis,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,29.8
132360,Saint Kitts and Nevis,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,25
132367,Saint Kitts and Nevis,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,34.7
133029,Saint Lucia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,22.2
133036,Saint Lucia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,18.6
133043,Saint Lucia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,25.9
133888,Saint Vincent and the Grenadines,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,33.3
133895,Saint Vincent and the Grenadines,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,32.2
133902,Saint Vincent and the Grenadines,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,34.4
134627,Samoa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,23.6
134634,Samoa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,23.5
134641,Samoa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,23.7
135476,Sao Tome and Principe,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,54.6
135483,Sao Tome and Principe,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,50.4
135490,Sao Tome and Principe,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,58.8
136403,Saudi Arabia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
136410,Saudi Arabia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
136417,Saudi Arabia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
137279,Senegal,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,49.8
137286,Senegal,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,47.4
137293,Senegal,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,52.2
138217,Serbia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,14.8
138224,Serbia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,12.1
138231,Serbia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,17.5
139088,Seychelles,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,14.7
139095,Seychelles,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,10.9
139102,Seychelles,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,18.5
139935,Sierra Leone,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,89.2
139942,Sierra Leone,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,86.2
139949,Sierra Leone,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,92.2
140799,Singapore,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,6.6
140806,Singapore,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,6.1
140813,Singapore,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.1
141661,Slovakia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,8.3
141668,Slovakia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,6.9
141675,Slovakia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,9.6
142509,Slovenia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7
142516,Slovenia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,5.2
142523,Slovenia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,8.8
143336,Solomon Islands,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
143343,Solomon Islands,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
143350,Solomon Islands,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
144122,Somalia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,79.5
144129,Somalia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,77
144136,Somalia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,82
144948,South Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,20.3
144955,South Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,19.3
144962,South Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,21.4
145743,South Sudan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,87.3
145750,South Sudan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,86
145757,South Sudan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,88.6
146437,Spain,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,8
146444,Spain,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,6.3
146451,Spain,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,9.6
147273,Sri Lanka,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,10.9
147280,Sri Lanka,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,10.5
147287,Sri Lanka,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,11.2
148148,Sudan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,51.8
148155,Sudan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,51.7
148162,Sudan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,52
148892,Suriname,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,35.8
148899,Suriname,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,30.6
148906,Suriname,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,41.1
149845,Sweden,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,5.4
149852,Sweden,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,3.9
149859,Sweden,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,6.9
150693,Switzerland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,2.1
150700,Switzerland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,1.5
150707,Switzerland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,2.7
151483,Syrian Arab Republic,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
151490,Syrian Arab Republic,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
151497,Syrian Arab Republic,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
152325,Tajikistan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
152332,Tajikistan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
152339,Tajikistan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
153255,Thailand,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.1
153262,Thailand,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,6.6
153269,Thailand,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.5
154167,Timor-Leste,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
154174,Timor-Leste,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
154181,Timor-Leste,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
155059,Togo,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,62.9
155066,Togo,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,60.5
155073,Togo,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,65.3
155897,Tokelau,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
155904,Tokelau,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
155911,Tokelau,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
156298,Tonga,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,17.6
156305,Tonga,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,14.2
156312,Tonga,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,20.9
157100,Trinidad and Tobago,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,43.3
157107,Trinidad and Tobago,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,39.6
157114,Trinidad and Tobago,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,47
158002,Tunisia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,28.5
158009,Tunisia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,25.3
158016,Tunisia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,31.6
158954,Türkiye,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
158961,Türkiye,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
158968,Türkiye,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
159842,Turkmenistan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
159849,Turkmenistan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
